代码,日期,EMA12,EMA26,EMA差值12-26,EMA差值12-26(%),EMA排列,排列评分
159869,2024-04-16,0.953683,0.977927,-0.024244,-2.4791,强势空头排列,-1.33
159869,2024-04-15,0.96817,0.986242,-0.018072,-1.8324,强势空头排列,-1.33
159869,2024-04-12,0.976565,0.991381,-0.014816,-1.4945,强势空头排列,-1.33
159869,2024-04-11,0.984122,0.995891,-0.011769,-1.1818,强势空头排列,-1.33
159869,2024-04-10,0.990145,0.999483,-0.009338,-0.9343,强势空头排列,-1.33
159869,2024-04-09,0.99908,1.004161,-0.005081,-0.506,强势空头排列,-1.21
159869,2024-04-08,1.00364,1.006574,-0.002934,-0.2915,强势空头排列,-1.33
159869,2024-04-03,1.011574,1.0103,0.001274,0.1261,震荡排列,0.0
159869,2024-04-02,1.01677,1.012484,0.004286,0.4233,价格弱于EMA12但EMA12强于EMA26,0.0
159869,2024-04-01,1.017637,1.012523,0.005114,0.5051,温和多头排列,0.35
